county_name,REPUBLICAN,DEMOCRAT,OTHER,totalvotes,totalvoters,turnout
ANDERSON,15548,3621,127,19296,30613,0.6303
ANDREWS,5204,806,48,6058,10739,0.5641
ANGELINA,26034,8135,224,34393,55965,0.6145
ARANSAS,10073,2826,110,13009,19849,0.6554
ARCHER,4590,519,20,5129,7008,0.7319
ARMSTRONG,1029,77,3,1109,1429,0.7761
ATASCOSA,13126,5140,148,18414,32142,0.5729
AUSTIN,12438,2809,110,15357,22116,0.6944
BAILEY,1393,332,14,1739,3172,0.5482
BANDERA,10929,2527,129,13585,19026,0.714
BASTROP,23276,15941,516,39733,61403,0.6471
BAYLOR,1467,184,20,1671,2430,0.6877
BEE,6107,2597,73,8777,15979,0.5493
BELL,75031,53800,1524,130355,240207,0.5427
BEXAR,336260,408981,9065,754306,1295580,0.5822
BLANCO,6384,1952,103,8439,11014,0.7662
BORDEN,370,16,1,387,487,0.7947
BOSQUE,7963,1519,83,9565,13638,0.7013
BOWIE,27057,9237,240,36534,62656,0.5831
BRAZORIA,95769,63849,2198,161816,249840,0.6477
BRAZOS,56544,33671,1441,91656,133384,0.6872
BREWSTER,2537,1967,64,4568,7408,0.6166
BRISCOE,666,72,7,745,1037,0.7184
BROOKS,1077,1308,17,2402,4945,0.4857
BROWN,14591,2131,128,16850,25500,0.6608
BURLESON,7586,1703,74,9363,13840,0.6765
BURNET,21689,6018,243,27950,39186,0.7133
CALDWELL,8825,6517,193,15535,27097,0.5733
CALHOUN,5936,1852,40,7828,13223,0.592
CALLAHAN,6173,758,47,6978,10439,0.6685
CAMERON,60925,54156,901,115982,238215,0.4869
CAMP,4006,1200,30,5236,8424,0.6216
CARSON,2853,288,17,3158,4297,0.7349
CASS,11676,2398,44,14118,21812,0.6473
CASTRO,1594,418,11,2023,3694,0.5476
CHAMBERS,20557,4187,214,24958,37026,0.6741
CHEROKEE,16580,3739,165,20484,32121,0.6377
CHILDRESS,1991,263,18,2272,3804,0.5973
CLAY,5283,584,36,5903,8291,0.712
COCHRAN,736,147,10,893,1676,0.5328
COKE,1620,179,12,1811,2460,0.7362
COLEMAN,3711,428,16,4155,6139,0.6768
COLLIN,278427,220269,13861,512557,748752,0.6845
COLLINGSWORTH,1066,135,0,1201,1887,0.6365
COLORADO,7819,2102,63,9984,14775,0.6757
COMAL,74588,27548,1052,103188,143696,0.7181
COMANCHE,5679,834,31,6544,10022,0.653
CONCHO,1035,153,7,1195,1795,0.6657
COOKE,16949,3303,162,20414,30193,0.6761
CORYELL,16665,6931,277,23873,46995,0.508
COTTLE,565,89,3,657,994,0.661
CRANE,1195,186,8,1389,2674,0.5194
CROCKETT,1085,323,7,1415,2289,0.6182
CROSBY,1416,451,13,1880,3638,0.5168
CULBERSON,451,319,11,781,1707,0.4575
DALLAM,1280,152,10,1442,2873,0.5019
DALLAS,319319,503783,16005,839107,1467410,0.5718
DAWSON,2808,667,36,3511,6776,0.5182
DEAF SMITH,3228,1013,34,4275,8756,0.4882
DELTA,2250,397,11,2658,4112,0.6464
DENTON,249304,189949,7120,446373,661565,0.6747
DEWITT,6444,1262,40,7746,11357,0.682
DICKENS,843,146,3,992,1433,0.6923
DIMMIT,1648,1750,8,3406,6706,0.5079
DONLEY,1492,174,26,1692,2414,0.7009
DUVAL,2435,1993,19,4447,8031,0.5537
EASTLAND,7397,918,48,8363,12520,0.668
ECTOR,32418,9876,305,42599,86640,0.4917
EDWARDS,867,133,3,1003,1496,0.6705
ELLIS,64706,33799,944,99449,147399,0.6747
EL PASO,104966,142879,3269,251114,521945,0.4811
ERATH,15334,2866,179,18379,25961,0.7079
FALLS,4518,1709,44,6271,10562,0.5937
FANNIN,13633,2602,139,16374,24942,0.6565
FAYETTE,10684,2510,117,13311,18353,0.7253
FISHER,1487,330,13,1830,2705,0.6765
FLOYD,1715,358,17,2090,3660,0.571
FOARD,448,92,5,545,806,0.6762
FORT BEND,173114,178134,9332,360580,555569,0.649
FRANKLIN,4461,809,25,5295,7599,0.6968
FREESTONE,7472,1487,45,9004,13406,0.6716
FRIO,3038,1844,37,4919,9526,0.5164
GAINES,5840,538,38,6416,10467,0.613
GALVESTON,100074,56520,1961,158555,245695,0.6453
GARZA,1374,213,12,1599,2651,0.6032
GILLESPIE,13175,3149,130,16454,21884,0.7519
GLASSCOCK,623,38,2,663,840,0.7893
GOLIAD,3177,778,31,3986,5833,0.6834
GONZALES,5980,1728,45,7753,13174,0.5885
GRAY,6688,845,44,7577,12317,0.6152
GRAYSON,50468,14754,556,65778,100124,0.657
GREGG,32829,13115,416,46360,76263,0.6079
GRIMES,11175,2731,120,14026,21080,0.6654
GUADALUPE,54498,29425,862,84785,130489,0.6497
HALE,7269,1899,92,9260,18272,0.5068
HALL,989,149,8,1146,1886,0.6076
HAMILTON,3801,624,31,4456,6260,0.7118
HANSFORD,1840,145,11,1996,3002,0.6649
HARDEMAN,1210,188,7,1405,2388,0.5884
HARDIN,24669,3336,119,28124,43116,0.6523
HARRIS,720046,802370,25877,1548293,2693055,0.5749
HARRISON,22610,7334,215,30159,47283,0.6378
HARTLEY,1843,163,10,2016,2846,0.7084
HASKELL,1915,312,16,2243,3442,0.6517
HAYS,58299,65294,1853,125446,186198,0.6737
HEMPHILL,1412,190,10,1612,2347,0.6868
HENDERSON,31252,6875,241,38368,59479,0.6451
HIDALGO,110541,104191,1983,216715,446417,0.4855
HILL,13646,2916,118,16680,26962,0.6186
HOCKLEY,6610,1321,49,7980,13984,0.5707
HOOD,30136,6052,309,36497,51704,0.7059
HOPKINS,13682,2909,106,16697,25383,0.6578
HOUSTON,7234,2062,53,9349,13901,0.6725
HOWARD,7813,1754,65,9632,17198,0.5601
HUDSPETH,747,272,12,1031,2212,0.4661
HUNT,36115,10195,384,46694,72860,0.6409
HUTCHINSON,7271,912,58,8241,13442,0.6131
IRION,761,105,2,868,1230,0.7057
JACK,3817,363,19,4199,5857,0.7169
JACKSON,5360,904,36,6300,9894,0.6367
JASPER,13137,2606,63,15806,24496,0.6452
JEFF DAVIS,699,450,20,1169,1574,0.7427
JEFFERSON,46453,38662,779,85894,147938,0.5806
JIM HOGG,725,855,4,1584,3548,0.4464
JIM WELLS,7627,5548,54,13229,26414,0.5008
JOHNSON,60649,19175,721,80545,129287,0.623
JONES,5981,906,52,6939,10883,0.6376
KARNES,4000,1049,23,5072,8449,0.6003
KAUFMAN,43997,24667,615,69279,108165,0.6405
KENDALL,22655,6340,291,29286,38959,0.7517
KENEDY,115,41,2,158,270,0.5852
KENT,390,50,5,445,599,0.7429
KERR,21594,6299,240,28133,40065,0.7022
KIMBLE,2126,261,17,2404,3318,0.7245
KING,129,6,0,135,165,0.8182
KINNEY,1062,345,10,1417,2175,0.6515
KLEBERG,5572,4315,63,9950,18689,0.5324
KNOX,1156,214,6,1376,2230,0.617
LAMAR,17044,4079,162,21285,33110,0.6429
LAMB,3382,716,24,4122,7883,0.5229
LAMPASAS,8951,2229,107,11287,16913,0.6674
LA SALLE,1415,931,10,2356,4210,0.5596
LAVACA,9199,1229,40,10468,14389,0.7275
LEE,6722,1639,51,8412,12168,0.6913
LEON,7978,1028,49,9055,12654,0.7156
LIBERTY,25182,5923,130,31235,54530,0.5728
LIMESTONE,7075,1920,67,9062,14443,0.6274
LIPSCOMB,1123,123,11,1257,1818,0.6914
LIVE OAK,4302,760,25,5087,7774,0.6544
LLANO,10894,2605,114,13613,18455,0.7376
LOVING,86,10,1,97,128,0.7578
LUBBOCK,86360,37010,1339,124709,197198,0.6324
LYNN,2171,367,21,2559,4385,0.5836
MCCULLOCH,3024,454,25,3503,5424,0.6458
MCLENNAN,64522,33761,1201,99484,159331,0.6244
MCMULLEN,448,37,2,487,644,0.7562
MADISON,4495,960,28,5483,8471,0.6473
MARION,3550,1094,36,4680,7822,0.5983
MARTIN,1825,247,11,2083,3497,0.5957
MASON,2076,434,17,2527,3278,0.7709
MATAGORDA,9951,3224,123,13298,22394,0.5938
MAVERICK,9282,6368,87,15737,35947,0.4378
MEDINA,17450,6939,203,24592,38525,0.6383
MENARD,859,169,9,1037,1516,0.684
MIDLAND,46601,11251,512,58364,99004,0.5895
MILAM,8627,2315,76,11018,17208,0.6403
MILLS,2416,310,14,2740,3626,0.7557
MITCHELL,2144,352,17,2513,4526,0.5552
MONTAGUE,9742,1199,68,11009,15649,0.7035
MONTGOMERY,221706,82022,3001,306729,453832,0.6759
MOORE,4456,857,44,5357,10130,0.5288
MORRIS,4056,1305,30,5391,8948,0.6025
MOTLEY,611,35,3,649,849,0.7644
NACOGDOCHES,17565,7680,221,25466,40051,0.6358
NAVARRO,14952,4687,141,19780,32955,0.6002
NEWTON,4781,952,16,5749,9486,0.6061
NOLAN,4047,1018,47,5112,8494,0.6018
NUECES,67015,53015,1158,121188,218753,0.554
OCHILTREE,2720,268,18,3006,5201,0.578
OLDHAM,894,74,5,973,1340,0.7261
ORANGE,30183,5937,202,36322,56232,0.6459
PALO PINTO,11033,2133,100,13266,20351,0.6519
PANOLA,9497,1902,34,11433,17836,0.641
PARKER,75091,14840,798,90729,127635,0.7108
PARMER,2123,368,13,2504,4549,0.5505
PECOS,3041,1142,59,4242,8328,0.5094
POLK,19147,4868,165,24180,44308,0.5457
POTTER,22966,8730,364,32060,59681,0.5372
PRESIDIO,686,1288,18,1992,4429,0.4498
RAINS,5638,868,38,6544,9404,0.6959
RANDALL,53262,12915,651,66828,100105,0.6676
REAGAN,800,140,8,948,1803,0.5258
REAL,1625,315,18,1958,2698,0.7257
RED RIVER,4681,1103,11,5795,8746,0.6626
REEVES,2331,1066,29,3426,7838,0.4371
REFUGIO,2131,917,22,3070,4938,0.6217
ROBERTS,547,20,5,572,722,0.7922
ROBERTSON,6157,1916,55,8128,12600,0.6451
ROCKWALL,43480,18054,634,62168,87932,0.707
RUNNELS,3580,452,24,4056,6807,0.5959
RUSK,17212,4327,135,21674,34277,0.6323
SABINE,4969,587,18,5574,8446,0.66
SAN AUGUSTINE,2913,809,21,3743,6038,0.6199
SAN JACINTO,10478,2161,87,12726,20406,0.6236
SAN PATRICIO,17323,8008,217,25548,45265,0.5644
SAN SABA,2412,276,21,2709,3795,0.7138
SCHLEICHER,906,192,10,1108,1732,0.6397
SCURRY,4908,730,41,5679,9366,0.6063
SHACKELFORD,1565,146,17,1728,2439,0.7085
SHELBY,8155,1740,43,9938,16355,0.6076
SHERMAN,815,70,7,892,1448,0.616
SMITH,74657,27890,965,103512,162009,0.6389
SOMERVELL,4492,748,50,5290,7420,0.7129
STARR,9443,6845,70,16358,36420,0.4491
STEPHENS,3354,384,9,3747,5881,0.6371
STERLING,583,43,3,629,892,0.7052
STONEWALL,604,110,2,716,955,0.7497
SUTTON,1167,228,5,1400,2348,0.5963
SWISHER,1839,403,25,2267,3900,0.5813
TARRANT,425650,383023,12152,820825,1309456,0.6268
TAYLOR,41116,13574,591,55281,89791,0.6157
TERRELL,314,91,0,405,626,0.647
TERRY,2813,587,18,3418,6412,0.5331
THROCKMORTON,822,73,4,899,1217,0.7387
TITUS,7849,2268,77,10194,18026,0.5655
TOM GREEN,33316,11508,472,45296,72586,0.624
TRAVIS,170613,398253,11493,580359,926313,0.6265
TRINITY,6121,1192,43,7356,12283,0.5989
TYLER,8265,1244,43,9552,14888,0.6416
UPSHUR,16925,2812,128,19865,30374,0.654
UPTON,1149,146,8,1303,2114,0.6164
UVALDE,6480,3214,72,9766,17929,0.5447
VAL VERDE,9130,5244,140,14514,30117,0.4819
VAN ZANDT,24305,3427,148,27880,41749,0.6678
VICTORIA,24994,9988,246,35228,58087,0.6065
WALKER,17503,7451,198,25152,38958,0.6456
WALLER,17057,10168,285,27510,44330,0.6206
WARD,3111,627,23,3761,7047,0.5337
WASHINGTON,14012,4045,139,18196,25794,0.7054
WEBB,33374,31934,528,65836,148536,0.4432
WHARTON,12431,3899,103,16433,26422,0.6219
WHEELER,2090,169,12,2271,3408,0.6664
WICHITA,31600,12084,472,44156,79805,0.5533
WILBARGER,3562,858,41,4461,8126,0.549
WILLACY,2856,2673,34,5563,11703,0.4753
WILLIAMSON,154853,147171,5373,307397,445326,0.6903
WILSON,20881,6227,135,27243,39092,0.6969
WINKLER,1646,283,4,1933,4086,0.4731
WISE,32357,5597,253,38207,55864,0.6839
WOOD,20568,3601,147,24316,35589,0.6832
YOAKUM,2039,342,20,2401,4289,0.5598
YOUNG,7269,958,54,8281,12394,0.6681
ZAPATA,2965,1874,24,4863,8182,0.5944
ZAVALA,1480,1984,26,3490,7810,0.4469
